EFF,GRO,MKT,EXP,CPL,INO,TCH,JNT,PTN,MAC,VPR,PPL,SCH,PRT,MGR,SOM,MXS,CMP,MDV,rating
?,low,low,low,high,?,medium,low,medium,high,high,high,high,low,medium,low,high,low,medium,red
?,low,low,low,medium,?,medium,low,medium,low,medium,medium,low,high,medium,low,high,low,high,red
?,low,low,low,high,?,medium,low,medium,high,low,high,low,medium,high,low,high,low,low,red
?,medium,medium,low,high,?,medium,medium,low,low,medium,medium,low,low,low,low,high,medium,low,yellow
?,low,low,low,medium,?,low,low,medium,low,high,medium,low,low,low,low,high,low,high,red
?,medium,medium,low,medium,low,?,low,low,low,high,?,?,high,low,low,high,low,low,red
low,low,medium,low,low,low,?,low,low,high,high,low,low,high,high,low,low,low,medium,green
low,low,low,low,low,low,low,medium,low,high,medium,low,high,high,high,low,high,medium,low,green
low,medium,low,low,medium,medium,low,low,low,high,low,medium,high,high,high,low,high,high,low,green
low,low,medium,low,low,low,low,low,low,high,medium,low,high,high,high,low,high,low,low,yellow
low,low,low,low,low,low,low,low,low,low,low,medium,high,high,medium,low,low,high,low,yellow
low,low,low,low,low,low,low,low,low,low,low,?,high,high,low,low,high,low,low,red
low,low,low,low,low,low,low,low,low,low,low,?,high,high,low,low,high,high,low,green
low,medium,low,medium,medium,low,medium,low,low,high,low,low,high,high,low,low,high,low,low,green
low,high,low,low,high,medium,medium,low,low,low,high,low,low,high,high,low,high,high,low,red
medium,low,low,low,low,medium,low,low,low,low,medium,medium,low,low,medium,?,high,low,low,red
low,low,medium,medium,medium,low,low,low,low,high,high,low,high,high,medium,low,high,low,low,red
?,low,low,low,medium,?,low,low,low,low,medium,medium,low,low,medium,low,high,high,low,yellow
?,low,medium,low,medium,?,medium,low,low,low,medium,low,low,low,medium,low,high,low,low,yellow
?,low,medium,low,medium,?,low,low,low,low,low,medium,high,medium,low,low,medium,medium,low,yellow
?,low,medium,low,medium,?,low,low,low,high,medium,low,low,low,low,low,high,medium,low,yellow
?,low,low,low,medium,?,medium,low,low,low,medium,medium,medium,low,low,low,medium,high,low,yellow
?,low,medium,low,medium,?,low,low,low,medium,medium,low,high,medium,medium,low,high,low,low,yellow
?,low,medium,low,medium,?,medium,low,low,medium,medium,low,low,medium,medium,low,high,medium,low,yellow
?,low,medium,low,medium,?,low,low,low,medium,medium,low,low,medium,medium,low,high,low,low,yellow
?,low,medium,low,medium,?,low,low,low,medium,medium,low,medium,low,high,low,high,low,low,yellow
low,low,low,low,low,low,low,low,low,medium,low,low,high,high,medium,low,medium,high,low,yellow
?,low,low,low,medium,?,medium,low,low,low,medium,medium,high,medium,medium,low,high,high,low,yellow
low,low,low,low,low,low,low,low,low,medium,low,low,high,high,high,low,medium,low,low,yellow
low,low,low,low,low,low,low,low,low,medium,low,low,high,high,medium,low,medium,high,low,yellow
?,low,low,low,medium,?,medium,low,low,low,medium,medium,medium,low,medium,low,medium,medium,low,yellow
?,low,low,low,medium,?,low,low,low,low,medium,medium,high,low,low,low,medium,medium,low,yellow
low,low,low,low,low,low,?,low,low,low,high,?,low,high,medium,low,low,medium,medium,green
low,low,medium,low,medium,low,?,low,low,high,high,low,low,high,high,low,high,medium,medium,green
low,low,medium,low,low,low,?,low,low,medium,medium,?,high,high,high,low,medium,medium,medium,green
low,low,medium,low,low,low,?,low,low,high,medium,low,low,high,high,low,high,low,low,green
low,medium,low,low,medium,low,?,low,low,high,medium,low,medium,high,high,low,low,low,medium,green
low,low,low,low,low,low,low,low,low,medium,medium,?,high,high,medium,low,high,medium,low,green
low,low,low,low,low,low,?,medium,low,high,high,low,low,high,high,low,low,low,low,green
low,low,low,low,low,low,low,low,low,high,low,?,high,high,medium,low,high,high,low,green
low,low,low,low,low,low,?,low,low,high,medium,low,medium,high,high,low,high,medium,medium,green
low,low,low,low,medium,low,low,medium,low,high,low,low,high,high,high,low,high,high,low,green
low,low,low,low,medium,low,low,low,low,medium,low,?,high,high,medium,low,high,high,low,green
low,medium,low,low,medium,medium,low,low,low,high,low,low,high,high,high,low,high,medium,low,green
low,medium,low,medium,medium,low,low,low,low,high,low,low,high,high,medium,low,high,medium,low,green
low,medium,low,low,low,medium,low,low,low,high,low,?,high,high,medium,low,high,high,low,green
low,low,low,low,medium,medium,low,low,low,high,low,?,high,high,low,low,high,high,low,green
low,low,medium,low,low,low,?,low,low,medium,medium,?,medium,high,high,low,medium,high,low,green
low,medium,low,medium,medium,low,medium,low,low,high,low,?,high,high,low,low,high,low,low,green
low,low,low,low,low,low,?,low,low,medium,medium,?,low,high,high,low,low,low,medium,green
low,low,low,medium,low,low,low,low,low,medium,low,?,high,high,low,low,high,medium,low,green
low,low,medium,low,low,low,?,low,low,high,medium,?,high,high,low,low,medium,low,medium,green
low,medium,medium,low,medium,low,?,low,low,high,medium,low,medium,high,high,low,low,low,medium,green
low,low,low,low,medium,low,low,medium,low,high,medium,low,high,high,high,low,high,low,low,green
low,medium,medium,low,medium,low,?,low,low,high,medium,low,medium,high,high,low,medium,low,medium,green
low,low,low,medium,medium,low,?,low,low,high,medium,low,high,high,low,low,high,low,medium,green
low,low,low,low,medium,low,low,medium,low,high,medium,low,high,high,medium,low,high,medium,low,green
?,low,low,low,medium,?,low,low,medium,low,high,high,high,low,low,low,high,low,medium,red
?,low,low,low,high,?,medium,low,medium,high,high,high,high,low,high,low,high,low,low,red
?,low,low,low,medium,?,low,low,medium,medium,medium,?,high,medium,medium,low,high,low,medium,red
?,low,low,low,medium,?,medium,low,medium,low,medium,medium,high,low,medium,low,high,low,high,red
?,low,low,low,high,?,medium,low,medium,high,medium,high,low,low,medium,low,high,low,low,red
?,low,low,low,high,?,medium,low,medium,medium,medium,high,low,medium,medium,low,high,low,high,red
?,low,low,low,medium,?,low,low,medium,low,high,medium,low,medium,low,low,high,low,high,red
?,low,low,low,medium,?,medium,low,medium,low,medium,medium,low,medium,low,low,high,low,high,red
?,low,low,low,medium,?,medium,low,medium,low,medium,medium,low,low,medium,low,high,low,high,red
?,low,low,low,high,?,medium,low,medium,medium,medium,medium,low,high,medium,low,high,low,high,red
?,low,low,low,high,?,low,low,medium,low,medium,medium,low,low,medium,low,high,low,high,red
?,low,low,low,high,?,?,low,low,medium,medium,?,?,medium,medium,low,high,low,low,red
?,low,low,low,high,?,low,low,low,medium,low,?,medium,high,medium,low,high,low,low,red
?,low,low,low,medium,?,low,low,medium,high,high,medium,low,low,medium,low,high,low,low,red
?,low,low,low,high,?,medium,low,medium,high,high,high,low,low,medium,low,high,low,low,red
?,low,low,low,medium,?,low,low,medium,low,medium,medium,low,high,medium,low,high,low,high,red
?,low,low,low,medium,?,?,low,low,low,high,?,?,medium,low,low,high,low,medium,red
?,low,low,low,medium,?,low,low,medium,low,high,medium,low,high,low,low,high,low,high,red
?,low,low,low,medium,?,?,low,low,low,high,?,?,high,low,low,high,low,high,red
?,low,low,low,medium,?,?,low,medium,low,high,?,?,high,low,low,high,low,medium,red
?,low,low,low,medium,?,?,low,low,high,high,?,?,medium,medium,low,high,low,low,red
?,low,low,low,high,?,?,low,low,high,medium,?,?,high,high,low,high,low,low,red
?,low,low,low,high,?,?,low,low,medium,high,?,?,high,high,low,high,low,low,red
?,low,low,low,medium,?,?,low,low,low,medium,?,?,high,low,low,high,low,medium,red
?,low,low,low,high,?,?,low,medium,low,high,?,?,medium,low,low,high,low,medium,red
?,low,low,low,medium,low,?,low,low,low,low,?,?,high,low,low,high,low,low,red
?,low,low,low,medium,?,low,low,low,low,high,?,medium,medium,low,low,high,low,high,red
?,low,low,low,high,?,low,low,low,high,low,?,low,medium,medium,low,high,low,low,red
?,low,low,low,medium,?,low,low,medium,low,low,?,medium,medium,low,low,high,low,low,red
?,low,low,low,medium,?,low,low,low,low,medium,?,high,high,low,low,high,low,low,red
?,low,low,low,high,?,medium,low,medium,low,high,medium,medium,high,medium,low,high,medium,medium,red
?,low,low,low,high,?,medium,low,low,medium,medium,medium,low,medium,high,low,high,medium,low,red
