title,description,location,currency,category,amount_funded,project_goal,number_backers,"Atlanta, GA","Austin, TX","Boston, MA","Brooklyn, NY","Cambridge, MA","Chicago, IL","Dallas, TX","Las Vegas, NV","London, UK","Los Angeles, CA","Melbourne, AU","Montreal, Canada","Nashville, TN","New York, NY","Oakland, CA","Palo Alto, CA","Paris, France","Philadelphia, PA","Portland, OR","Provo, UT","Salt Lake City, UT","San Diego, CA","San Francisco, CA","San Jose, CA","Seattle, WA","St. Louis, MO","Tokyo, Japan","Toronto, Canada","Vancouver, Canada","Washington, DC",other_loc,aud,cad,chf,dkk,eur,gbp,nzd,sek,usd,3D Printing,Animation,Anthologies,Apparel,Art Books,Camera Equipment,Comics,DIY Electronics,Design,Documentary,Fashion,Film &amp; Video,Food,Gadgets,Games,Graphic Design,Hardware,Music,Narrative Film,Nonfiction,Playing Cards,Product Design,Software,Sound,Tabletop Games,Technology,Video Games,Wearables,Webcomics,Webseries,other_categ
Anatomy of Melancholy: The Best of A Softer World," A Softer World is ending and to celebrate we're doing a collection of our favourite comics, from the very first to the very last. ","Brooklyn, NY",usd,Comics,1.61111361342,-0.470101551023,2.58375643586,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Project 562: Changing The Way We See Native America (Phase2)," Project 562 will collect photographic stories from citizens of every Tribe in the U.S., resulting in books, exhibitions and curricula. ","Seattle, WA",usd,other_categ,1.05715014327,1.42814192185,2.52412696287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WayCap - Refillable Coffee Capsule for Nespresso\xae Machines.," Meet WayCap. The new coffee capsule compatible with Nespresso  _  _ machines, in stainless steel, infinitely reusable and eco-friendly. ",other_loc,eur,Product Design,1.36574084154,-0.797384908415,2.44413620642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kiwi 3 - OBD Car to Smartphone Interface Reinvented," Transform your smart phone, tablet, smart watch, or PC into an engine check diagnostic tool, trip computer, performance meter, and more Miss our campaign? ",other_loc,usd,Hardware,1.93212396025,-0.470101551023,2.40632239428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SilverAir SHIRT: Odorless Shirts Made With Pure Silver," Premium performance shirts that don't stink! Designed for the gym, the city, and everywhere in between. ","Los Angeles, CA",usd,Fashion,1.60166996606,0.184465163761,2.40632239428,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Best Workout Shirt Ever Made. Guaranteed., Performance apparel scientifically proven to outperform every major sportswear brand. Stay cooler & drier than ever before. Guaranteed. ,"Washington, DC",usd,Wearables,2.18312461558,-0.470101551023,2.3452385439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ava's Demon: Book One, Ava's Demon is a science fiction webcomic about a girl named Ava and the demon haunting her. Help fund its first book! ,other_loc,usd,Comics,1.10981947137,-1.32103828024,2.34087541173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ernest Wright and Son Ltd - Scissors Hand-Made in Sheffield., Lifetime-lasting scissors designed and hand-made by Ernest Wright and Son Ltd in Sheffield England - the birthplace of stainless steel. ,other_loc,gbp,Product Design,1.57217514233,1.82088195072,2.23616023966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UAMP - Soul Shaking Audio for Your Ears," Enrich your listening experience and overcome your music player  _  _s limitations with Uamp, a headphone amplifier in a portable package! ",other_loc,aud,Hardware,2.28787396461,-1.12466826581,2.14744321887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kachula 2.0- The Packable Multi-Use Adventure Blanket," Waterproof, Packable and Versatile. The Kachula is the ultimate adventure blanket. ","Salt Lake City, UT",usd,Product Design,1.70307499691,-1.12466826581,2.04272804679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Lomography Smartphone Film Scanner, The Smartphone Film Scanner Offers You a New Way to Instantly Scan and Share 35mm Films Using Your Smartphone. ,"New York, NY",usd,Product Design,1.8709980743,1.16631523594,2.01800363116,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Print on Fabric Using Sunlight: The Lumi Process, Analog meets digital with this textile printing process. Our new kits make it easy to do it yourself. ,"Los Angeles, CA",usd,Technology,1.86709391432,1.16631523594,2.00491423465,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Dice Tower - 2015 (Season 11)," The Dice Tower enters its eleventh season.  We are raising funds to keep it going, making it better in every way! ",other_loc,usd,Tabletop Games,0.560069547459,1.82088195072,1.97000917729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The HuMn Wallet - the best minimal RFID blocking wallet," A modern minimalist wallet that blocks RFID signals while keeping your money, credit cards, and business cards organized and secure. ","Portland, OR",usd,Design,2.26436060863,2.21362197959,1.95546540339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
