title,description,location,currency,category,amount_funded,project_goal,number_backers,"Atlanta, GA","Austin, TX","Boston, MA","Brooklyn, NY","Cambridge, MA","Chicago, IL","Dallas, TX","Las Vegas, NV","London, UK","Los Angeles, CA","Melbourne, AU","Montreal, Canada","Nashville, TN","New York, NY","Oakland, CA","Palo Alto, CA","Paris, France","Philadelphia, PA","Portland, OR","Provo, UT","Salt Lake City, UT","San Diego, CA","San Francisco, CA","San Jose, CA","Seattle, WA","St. Louis, MO","Tokyo, Japan","Toronto, Canada","Vancouver, Canada","Washington, DC",other_loc,aud,cad,chf,dkk,eur,gbp,nzd,sek,usd,3D Printing,Animation,Anthologies,Apparel,Art Books,Camera Equipment,Comics,DIY Electronics,Design,Documentary,Fashion,Film &amp; Video,Food,Gadgets,Games,Graphic Design,Hardware,Music,Narrative Film,Nonfiction,Playing Cards,Product Design,Software,Sound,Tabletop Games,Technology,Video Games,Wearables,Webcomics,Webseries,other_categ
"gStick: The Mouse You Hold Like a Pen, for PC's and Macs."," gStick: Hold it like a pen, draw, sketch, create and mouse on a pad, fits in your pocket, is wireless and works for PC's and Macs. ",other_loc,usd,Hardware,-0.165632763992,0.511748521153,2.62011587061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anatomy of Melancholy: The Best of A Softer World," A Softer World is ending and to celebrate we're doing a collection of our favourite comics, from the very first to the very last. ","Brooklyn, NY",usd,Comics,1.61111361342,-0.470101551023,2.58375643586,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AwareCar: Make Any Car Smarter for $9," Our first app ""AwareCar"" tells you where you parked, contextually opens apps and saves you from getting a ticket. ","San Francisco, CA",usd,Technology,-1.01162740101,-1.12466826581,2.5779389263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rad Rodgers - The return of the 90's era Apogee platformer!," Bringing back the 90's-era PC platformer with a game inspired by classics like Commander Keen, Conker, Ruff'n'Tumble & Jazz Jackrabbit -   _  _Missed the Kickstarter? You can still get in on the Beta, and purchase specific rewards by clicking the button below! ",other_loc,usd,Video Games,-0.881670437895,1.16631523594,2.55176013328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A Show with Ze Frank," In 2006 I created a show called ""The Show with Ze Frank."" With your help I'd like to start a new show. Same, same... but different. ","Los Angeles, CA",usd,Webseries,0.0743478473042,1.16631523594,2.55030575589,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Project 562: Changing The Way We See Native America (Phase2)," Project 562 will collect photographic stories from citizens of every Tribe in the U.S., resulting in books, exhibitions and curricula. ","Seattle, WA",usd,other_categ,1.05715014327,1.42814192185,2.52412696287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
An Evening With Neil Gaiman & Amanda Palmer," Be a part of ""An Evening with Neil Gaiman & Amanda Palmer  _  __"" whether you want to attend the shows, or live a million miles away  _  __ ","Boston, MA",usd,Music,-0.123232113288,-0.797384908415,2.51103756636,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bear Simulator," Explore, eat stuff, be a Bear! ","Portland, OR",usd,Video Games,-0.606022010285,-0.175546529371,2.50812881158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Big Skinny Wallets: Worlds Thinnest Wallets w/ RFID blocking," Reduce your wallet size by 50+% with RFID blocking. Solve 5 wallet problems, add functionality w/out losing pockets or features. ","Cambridge, MA",usd,Technology,0.248650174779,-0.666471565458,2.49794816985,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Smut Peddler Double Header!," TWO smutty comics, kickstartin' together! Come grab Iron Circus Comics' FIRST smutty GN and the My Monster Boyfriend anthology! ","Chicago, IL",usd,other_categ,0.28674888316,0.511748521153,2.47904126378,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hover : Revolt Of Gamers, Open world futuristic freerun / parkour game inspired by great games like Jet Set Radio and Mirror's Edge ,other_loc,usd,Video Games,-0.372847896773,0.380835178196,2.46740624466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WayCap - Refillable Coffee Capsule for Nespresso\xae Machines.," Meet WayCap. The new coffee capsule compatible with Nespresso  _  _ machines, in stainless steel, infinitely reusable and eco-friendly. ",other_loc,eur,Product Design,1.36574084154,-0.797384908415,2.44413620642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kiwi 3 - OBD Car to Smartphone Interface Reinvented," Transform your smart phone, tablet, smart watch, or PC into an engine check diagnostic tool, trip computer, performance meter, and more Miss our campaign? ",other_loc,usd,Hardware,1.93212396025,-0.470101551023,2.40632239428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SilverAir SHIRT: Odorless Shirts Made With Pure Silver," Premium performance shirts that don't stink! Designed for the gym, the city, and everywhere in between. ","Los Angeles, CA",usd,Fashion,1.60166996606,0.184465163761,2.40632239428,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
