index,EFF,GRO,MKT,EXP,CPL,INO,TCH,JNT,PTN,MAC,VPR,PPL,SCH,PRT,MGR,SOM,MXS,CMP,MDV,rating
12,low,low,low,low,low,low,low,low,low,low,low,low,high,high,low,low,high,high,low,green
13,low,medium,low,medium,medium,low,medium,low,low,high,low,low,high,high,low,low,high,low,low,green
33,low,low,medium,low,medium,low,low,low,low,high,high,low,low,high,high,low,high,medium,medium,green
45,low,medium,low,low,low,medium,low,low,low,high,low,low,high,high,medium,low,high,high,low,green
8,low,medium,low,low,medium,medium,low,low,low,high,low,medium,high,high,high,low,high,high,low,green
40,low,low,low,low,low,low,low,low,low,high,medium,low,medium,high,high,low,high,medium,medium,green
41,low,low,low,low,medium,low,low,medium,low,high,low,low,high,high,high,low,high,high,low,green
39,low,low,low,low,low,low,low,low,low,high,low,low,high,high,medium,low,high,high,low,green
38,low,low,low,low,low,low,low,medium,low,high,high,low,low,high,high,low,low,low,low,green
55,low,low,low,medium,medium,low,low,low,low,high,medium,low,high,high,low,low,high,low,medium,green
35,low,low,medium,low,low,low,low,low,low,high,medium,low,low,high,high,low,high,low,low,green
6,low,low,medium,low,low,low,low,low,low,high,high,low,low,high,high,low,low,low,medium,green
43,low,medium,low,low,medium,medium,low,low,low,high,low,low,high,high,high,low,high,medium,low,green
56,low,low,low,low,medium,low,low,medium,low,high,medium,low,high,high,medium,low,high,medium,low,green
48,low,medium,low,medium,medium,low,medium,low,low,high,low,low,high,high,low,low,high,low,low,green
34,low,low,medium,low,low,low,low,low,low,medium,medium,low,high,high,high,low,medium,medium,medium,green
50,low,low,low,medium,low,low,low,low,low,medium,low,low,high,high,low,low,high,medium,low,green
49,low,low,low,low,low,low,low,low,low,medium,medium,low,low,high,high,low,low,low,medium,green
37,low,low,low,low,low,low,low,low,low,medium,medium,low,high,high,medium,low,high,medium,low,green
52,low,medium,medium,low,medium,low,low,low,low,high,medium,low,medium,high,high,low,low,low,medium,green
46,low,low,low,low,medium,medium,low,low,low,high,low,low,high,high,low,low,high,high,low,green
47,low,low,medium,low,low,low,low,low,low,medium,medium,low,medium,high,high,low,medium,high,low,green
44,low,medium,low,medium,medium,low,low,low,low,high,low,low,high,high,medium,low,high,medium,low,green
7,low,low,low,low,low,low,low,medium,low,high,medium,low,high,high,high,low,high,medium,low,green
53,low,low,low,low,medium,low,low,medium,low,high,medium,low,high,high,high,low,high,low,low,green
32,low,low,low,low,low,low,low,low,low,low,high,low,low,high,medium,low,low,medium,medium,green
42,low,low,low,low,medium,low,low,low,low,medium,low,low,high,high,medium,low,high,high,low,green
51,low,low,medium,low,low,low,low,low,low,high,medium,low,high,high,low,low,medium,low,medium,green
54,low,medium,medium,low,medium,low,low,low,low,high,medium,low,medium,high,high,low,medium,low,medium,green
36,low,medium,low,low,medium,low,low,low,low,high,medium,low,medium,high,high,low,low,low,medium,green
