index,EFF,GRO,MKT,EXP,CPL,INO,TCH,JNT,PTN,MAC,VPR,PPL,SCH,PRT,MGR,SOM,MXS,CMP,MDV,rating
84,low,low,low,low,high,low,low,low,low,high,low,low,low,medium,medium,low,high,low,low,red
57,low,low,low,low,medium,low,low,low,medium,low,high,high,high,low,low,low,high,low,medium,red
96,low,low,low,low,medium,low,low,low,low,low,low,medium,low,low,medium,low,high,low,low,red
75,low,low,low,low,medium,low,low,low,low,low,high,low,high,high,low,low,high,low,high,red
80,low,low,low,low,medium,low,low,low,low,low,medium,low,high,high,low,low,high,low,medium,red
95,low,low,low,low,medium,low,low,low,medium,low,medium,medium,low,high,medium,low,high,low,medium,red
70,low,low,low,low,medium,low,low,low,medium,high,high,medium,low,low,medium,low,high,low,low,red
62,low,low,low,low,high,low,medium,low,medium,medium,medium,high,low,medium,medium,low,high,low,high,red
77,low,low,low,low,medium,low,low,low,low,high,high,low,high,medium,medium,low,high,low,low,red
16,low,low,medium,medium,medium,low,low,low,low,high,high,low,high,high,medium,low,high,low,low,red
14,low,high,low,low,high,medium,medium,low,low,low,high,low,low,high,high,low,high,high,low,red
66,low,low,low,low,high,low,medium,low,medium,medium,medium,medium,low,high,medium,low,high,low,high,red
94,low,low,low,low,medium,low,medium,low,medium,low,medium,medium,low,low,medium,low,high,low,high,red
93,low,low,low,low,medium,low,low,low,low,medium,low,high,low,low,high,low,high,low,low,red
101,low,low,low,low,medium,low,low,low,low,medium,high,low,high,high,low,low,high,low,low,red
69,low,low,low,low,high,low,low,low,low,medium,low,low,medium,high,medium,low,high,low,low,red
79,low,low,low,low,high,low,low,low,low,medium,high,low,high,high,high,low,high,low,low,red
92,low,low,low,low,medium,low,low,low,medium,low,medium,medium,low,high,medium,low,high,low,medium,red
81,low,low,low,low,high,low,low,low,medium,low,high,low,high,medium,low,low,high,low,medium,red
2,low,low,low,low,high,low,medium,low,medium,high,low,high,low,medium,high,low,high,low,low,red
15,medium,low,low,low,low,medium,low,low,low,low,medium,medium,low,low,medium,low,high,low,low,red
91,low,low,low,low,medium,low,medium,low,medium,low,high,medium,low,high,medium,low,high,medium,medium,red
65,low,low,low,low,medium,low,medium,low,medium,low,medium,medium,low,low,medium,low,high,low,high,red
86,low,low,low,low,medium,low,low,low,low,low,medium,low,high,high,low,low,high,low,low,red
63,low,low,low,low,medium,low,low,low,medium,low,high,medium,low,medium,low,low,high,low,high,red
82,low,low,low,low,medium,low,low,low,low,low,low,low,high,high,low,low,high,low,low,red
98,low,medium,low,medium,high,medium,medium,low,low,low,high,low,high,high,high,low,high,high,low,red
68,low,low,low,low,high,low,low,low,low,medium,medium,low,high,medium,medium,low,high,low,low,red
100,low,low,low,low,medium,low,medium,low,low,low,medium,low,low,high,medium,low,high,low,low,red
71,low,low,low,low,high,low,medium,low,medium,high,high,high,low,low,medium,low,high,low,low,red
5,low,medium,medium,low,medium,low,low,low,low,low,high,low,high,high,low,low,high,low,low,red
87,low,low,low,low,high,low,medium,low,medium,low,high,medium,medium,high,medium,low,high,medium,medium,red
72,low,low,low,low,medium,low,low,low,medium,low,medium,medium,low,high,medium,low,high,low,high,red
11,low,low,low,low,low,low,low,low,low,low,low,low,high,high,low,low,high,low,low,red
67,low,low,low,low,high,low,low,low,medium,low,medium,medium,low,low,medium,low,high,low,high,red
73,low,low,low,low,medium,low,low,low,low,low,high,low,high,medium,low,low,high,low,medium,red
99,low,low,low,low,medium,low,low,low,low,medium,high,low,low,low,medium,low,high,low,low,red
1,low,low,low,low,medium,low,medium,low,medium,low,medium,medium,low,high,medium,low,high,low,high,red
83,low,low,low,low,medium,low,low,low,low,low,high,low,medium,medium,low,low,high,low,high,red
59,low,low,low,low,medium,low,low,low,medium,medium,medium,low,high,medium,medium,low,high,low,medium,red
0,low,low,low,low,high,low,medium,low,medium,high,high,high,high,low,medium,low,high,low,medium,red
89,low,medium,low,low,high,low,medium,low,medium,medium,high,medium,high,low,medium,low,high,low,medium,red
97,low,low,low,low,medium,low,low,low,low,low,high,low,medium,medium,medium,low,high,low,low,red
60,low,low,low,low,medium,low,medium,low,medium,low,medium,medium,high,low,medium,low,high,low,high,red
74,low,low,low,low,medium,low,low,low,medium,low,high,medium,low,high,low,low,high,low,high,red
4,low,low,low,low,medium,low,low,low,medium,low,high,medium,low,low,low,low,high,low,high,red
58,low,low,low,low,high,low,medium,low,medium,high,high,high,high,low,high,low,high,low,low,red
76,low,low,low,low,medium,low,low,low,medium,low,high,low,high,high,low,low,high,low,medium,red
90,low,medium,low,medium,medium,low,low,low,low,high,high,low,high,high,medium,low,high,high,low,red
85,low,low,low,low,medium,low,low,low,medium,low,low,low,medium,medium,low,low,high,low,low,red
61,low,low,low,low,high,low,medium,low,medium,high,medium,high,low,low,medium,low,high,low,low,red
78,low,low,low,low,high,low,low,low,low,high,medium,low,high,high,high,low,high,low,low,red
88,low,low,low,low,high,low,medium,low,low,medium,medium,medium,low,medium,high,low,high,medium,low,red
64,low,low,low,low,medium,low,medium,low,medium,low,medium,medium,low,medium,low,low,high,low,high,red
