,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
59,Color,Brett Ratner,162,91,420,173,Dana Ivey,268,140080850,Action|Comedy|Crime|Thriller,Tzi Ma,Rush Hour 3ë_,121084,1125,NoÕ©mie Lenoir,2,ambassador|assassination|chinese|french|triad,221,English,USA,PG-13,140000000,2007,268,6.2,2.35,0
69,Color,Jon Favreau,486,126,4000,4000,Jeff Bridges,21000,318298180,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Manë_,696338,39252,Jon Favreau,3,afghanistan|billionaire|inventor|playboy|u.s. air force,1055,English,USA,PG-13,140000000,2008,12000,7.9,2.35,10000
100,Color,Rob Cohen,187,106,357,4000,Vin Diesel,23000,144512310,Action|Crime|Thriller,Paul Walker,The Fast and the Furiousë_,272223,45327,Jordana Brewster,2,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,988,English,USA,PG-13,38000000,2001,14000,6.7,2.35,14000
111, Black and White,Michael Bay,191,184,0,691,Jaime King,3000,198539855,Action|Drama|History|Romance|War,Jennifer Garner,Pearl Harborë_,254111,5401,Mako,0,air raid|black smoke|japanese military|japanese navy|sunday,1999,English,USA,PG-13,140000000,2001,961,6.1,2.35,0
151,Color,Michael Bay,167,153,0,537,Steve Buscemi,13000,201573391,Action|Adventure|Sci-Fi|Thriller,Bruce Willis,Armageddonë_,322395,26029,Will Patton,0,asteroid|astronaut|bomb|meteorite|outer space,1171,English,USA,PG-13,140000000,1998,12000,6.6,2.35,11000
4474,Color,Derek Cianfrance,377,112,310,616,Mike Vogel,33000,9701559,Drama|Romance,Ryan Gosling,Blue Valentineë_,141425,35941,John Doman,0,dog hit by a car|dysfunctional family|falling in love|female in shower|unhappily married woman,283,English,USA,R,3500000,2010,2000,7.4,1.66,25000
4482,Color,Eli Roth,285,100,0,389,Richard Burgi,640,7186670,Adventure|Horror,Daryl Sabara,The Green Infernoë_,21468,2082,Magda Apanowicz,0,activist|amazon|color in title|rain|rain forest,164,English,USA,R,6000000,2013,550,5.4,2.35,12000
4488,Color,Jason Reitman,387,96,655,973,Jennifer Garner,24000,143492840,Comedy|Drama|Romance,J.K. Simmons,Junoë_,414345,28817,Rainn Wilson,0,adoption|baby|friend|pregnancy|school,881,English,USA,PG-13,7500000,2007,3000,7.5,1.85,10000
4500,Color,Rob Letterman,218,103,11,543,Dylan Minnette,2000,80021740,Adventure|Comedy|Family|Fantasy|Horror,Odeya Rush,Goosebumpsë_,47988,5497,Ken Marino,4,based on book|blob|ferris wheel|manuscript|monster,154,English,USA,PG,58000000,2015,1000,6.4,2.35,35000
4506,Color,David Gordon Green,88,108,234,463,Paul Schneider,11000,548712,Drama|Romance,Zooey Deschanel,All the Real Girlsë_,9233,12385,Shea Whigham,0,best friend|lake|love|small town|womanizer,126,English,USA,R,2500000,2003,552,6.9,2.35,571
4515,Color,Peter Jackson,308,135,0,310,AJ Michalka,873,43982842,Drama|Fantasy|Thriller,Michael Imperioli,The Lovely Bonesë_,125114,2369,Tom McCarthy,1,1970s|afterlife|heaven|pedophile|rape,593,English,USA,PG-13,65000000,2009,559,6.7,2.35,16000
4538,Color,Frank Whaley,9,96,436,4,Frank Whaley,474,703,Comedy|Drama,Lynn Cohen,The Jimmy Showë_,480,920,Heather Bucha,3,based on play|character name in title,21,English,USA,R,1500000,2001,436,5.4,1.85,47
