,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
59,Color,Brett Ratner,162.0,91.0,420.0,173.0,Dana Ivey,268.0,140080850.0,Action|Comedy|Crime|Thriller,Tzi Ma,Rush Hour 3ξ,121084.0,1125.0,No��mie Lenoir,2.0,ambassador|assassination|chinese|french|triad,221.0,English,USA,PG-13,140000000.0,2007.0,268.0,6.2,2.35,0.0
69,Color,Jon Favreau,486.0,126.0,4000.0,4000.0,Jeff Bridges,21000.0,318298180.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Manξ,696338.0,39252.0,Jon Favreau,3.0,afghanistan|billionaire|inventor|playboy|u.s. air force,1055.0,English,USA,PG-13,140000000.0,2008.0,12000.0,7.9,2.35,10000.0
100,Color,Rob Cohen,187.0,106.0,357.0,4000.0,Vin Diesel,23000.0,144512310.0,Action|Crime|Thriller,Paul Walker,The Fast and the Furiousξ,272223.0,45327.0,Jordana Brewster,2.0,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,988.0,English,USA,PG-13,38000000.0,2001.0,14000.0,6.7,2.35,14000.0
111, Black and White,Michael Bay,191.0,184.0,0.0,691.0,Jaime King,3000.0,198539855.0,Action|Drama|History|Romance|War,Jennifer Garner,Pearl Harborξ,254111.0,5401.0,Mako,0.0,air raid|black smoke|japanese military|japanese navy|sunday,1999.0,English,USA,PG-13,140000000.0,2001.0,961.0,6.1,2.35,0.0
151,Color,Michael Bay,167.0,153.0,0.0,537.0,Steve Buscemi,13000.0,201573391.0,Action|Adventure|Sci-Fi|Thriller,Bruce Willis,Armageddonξ,322395.0,26029.0,Will Patton,0.0,asteroid|astronaut|bomb|meteorite|outer space,1171.0,English,USA,PG-13,140000000.0,1998.0,12000.0,6.6,2.35,11000.0
152,Color,Barry Sonnenfeld,208.0,88.0,188.0,826.0,Rosario Dawson,10000.0,190418803.0,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,Will Smith,Men in Black IIξ,270207.0,14823.0,Rip Torn,2.0,alien|lingerie|lingerie model|m.i.b.|pug,606.0,English,USA,PG-13,140000000.0,2002.0,3000.0,6.1,1.85,2000.0
157,Color,Dean Parisot,135.0,90.0,23.0,233.0,Richard Burgi,957.0,110332737.0,Comedy|Crime,John Michael Higgins,Fun with Dick and Janeξ,110788.0,1997.0,David Herman,1.0,animal abuse|ceo|heist|suburb|unemployment,258.0,English,USA,PG-13,100000000.0,2005.0,550.0,6.1,2.35,2000.0
158,Color,Edward Zwick,190.0,154.0,380.0,445.0,Tony Goldwyn,10000.0,111110575.0,Action|Drama|History|War,Tom Cruise,The Last Samuraiξ,317166.0,11945.0,Chad Lindberg,1.0,captain|emperor|honor|japan|samurai,928.0,English,USA,R,140000000.0,2003.0,956.0,7.7,2.35,0.0
161,Color,Sam Raimi,291.0,121.0,0.0,4000.0,James Franco,24000.0,403706375.0,Action|Adventure|Fantasy|Romance,J.K. Simmons,Spider-Manξ,544665.0,40484.0,Kirsten Dunst,0.0,evil|goblin|spider|spider man|superhero,2012.0,English,USA,PG-13,139000000.0,2002.0,11000.0,7.3,1.85,5000.0
163,Color,Alex Proyas,184.0,126.0,295.0,284.0,Elodie Yung,18000.0,31141074.0,Action|Adventure|Fantasy,Gerard Butler,Gods of Egyptξ,51892.0,19769.0,Bryan Brown,4.0,ancient egypt|egypt|egyptian|egyptian god|egyptian goddess,273.0,English,USA,PG-13,140000000.0,2016.0,934.0,5.5,2.35,24000.0
164,Color,Rob Cohen,145.0,121.0,357.0,653.0,Joe Morton,820.0,31704416.0,Action|Adventure|Sci-Fi|Thriller,Sam Shepard,Stealthξ,45455.0,2705.0,Richard Roxburgh,0.0,artificial intelligence|box office flop|fighter jet|navy|pilot,388.0,English,USA,PG-13,135000000.0,2005.0,780.0,5.0,2.35,0.0
165,Color,Zack Snyder,451.0,215.0,0.0,413.0,Billy Crudup,986.0,107503316.0,Action|Drama|Mystery|Sci-Fi,Matt Frewer,Watchmenξ,392474.0,2530.0,Stephen McHattie,1.0,conspiracy|cynicism|false promise of the american dream|male full frontal nudity|male nudity,1229.0,English,USA,R,130000000.0,2009.0,745.0,7.7,2.35,18000.0
166,Color,Richard Donner,141.0,127.0,503.0,91.0,Rene Russo,5000.0,129734803.0,Action|Crime|Thriller,Jet Li,Lethal Weapon 4ξ,127497.0,6171.0,Darlene Love,2.0,kung fu|lapd|martial arts|private investigator|triad,287.0,English,USA,R,140000000.0,1998.0,808.0,6.6,2.35,0.0
167,Color,Ang Lee,267.0,138.0,0.0,258.0,Regi Davis,820.0,132122995.0,Action|Sci-Fi,Kevin Rankin,Hulkξ,212106.0,1814.0,Celia Weston,0.0,1980s|c 130 hercules|monster|panzer|san francisco california,1445.0,English,USA,pg13,137000000.0,2003.0,300.0,5.7,1.85,0.0
