,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
59,Color,Brett Ratner,162,91,420,173,Dana Ivey,268,140080850,Action|Comedy|Crime|Thriller,Tzi Ma,Rush Hour 3Î_,121084,1125,No’©mie Lenoir,2,ambassador|assassination|chinese|french|triad,221,English,USA,PG-13,140000000,2007,268,6.2,2.35,0
69,Color,Jon Favreau,486,126,4000,4000,Jeff Bridges,21000,318298180,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron ManÎ_,696338,39252,Jon Favreau,3,afghanistan|billionaire|inventor|playboy|u.s. air force,1055,English,USA,PG-13,140000000,2008,12000,7.9,2.35,10000
100,Color,Rob Cohen,187,106,357,4000,Vin Diesel,23000,144512310,Action|Crime|Thriller,Paul Walker,The Fast and the FuriousÎ_,272223,45327,Jordana Brewster,2,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,988,English,USA,PG-13,38000000,2001,14000,6.7,2.35,14000
111, Black and White,Michael Bay,191,184,0,691,Jaime King,3000,198539855,Action|Drama|History|Romance|War,Jennifer Garner,Pearl HarborÎ_,254111,5401,Mako,0,air raid|black smoke|japanese military|japanese navy|sunday,1999,English,USA,PG-13,140000000,2001,961,6.1,2.35,0
151,Color,Michael Bay,167,153,0,537,Steve Buscemi,13000,201573391,Action|Adventure|Sci-Fi|Thriller,Bruce Willis,ArmageddonÎ_,322395,26029,Will Patton,0,asteroid|astronaut|bomb|meteorite|outer space,1171,English,USA,PG-13,140000000,1998,12000,6.6,2.35,11000
152,Color,Barry Sonnenfeld,208,88,188,826,Rosario Dawson,10000,190418803,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,Will Smith,Men in Black IIÎ_,270207,14823,Rip Torn,2,alien|lingerie|lingerie model|m.i.b.|pug,606,English,USA,PG-13,140000000,2002,3000,6.1,1.85,2000
157,Color,Dean Parisot,135,90,23,233,Richard Burgi,957,110332737,Comedy|Crime,John Michael Higgins,Fun with Dick and JaneÎ_,110788,1997,David Herman,1,animal abuse|ceo|heist|suburb|unemployment,258,English,USA,PG-13,100000000,2005,550,6.1,2.35,2000
158,Color,Edward Zwick,190,154,380,445,Tony Goldwyn,10000,111110575,Action|Drama|History|War,Tom Cruise,The Last SamuraiÎ_,317166,11945,Chad Lindberg,1,captain|emperor|honor|japan|samurai,928,English,USA,R,140000000,2003,956,7.7,2.35,0
161,Color,Sam Raimi,291,121,0,4000,James Franco,24000,403706375,Action|Adventure|Fantasy|Romance,J.K. Simmons,Spider-ManÎ_,544665,40484,Kirsten Dunst,0,evil|goblin|spider|spider man|superhero,2012,English,USA,PG-13,139000000,2002,11000,7.3,1.85,5000
163,Color,Alex Proyas,184,126,295,284,Elodie Yung,18000,31141074,Action|Adventure|Fantasy,Gerard Butler,Gods of EgyptÎ_,51892,19769,Bryan Brown,4,ancient egypt|egypt|egyptian|egyptian god|egyptian goddess,273,English,USA,PG-13,140000000,2016,934,5.5,2.35,24000
164,Color,Rob Cohen,145,121,357,653,Joe Morton,820,31704416,Action|Adventure|Sci-Fi|Thriller,Sam Shepard,StealthÎ_,45455,2705,Richard Roxburgh,0,artificial intelligence|box office flop|fighter jet|navy|pilot,388,English,USA,PG-13,135000000,2005,780,5,2.35,0
165,Color,Zack Snyder,451,215,0,413,Billy Crudup,986,107503316,Action|Drama|Mystery|Sci-Fi,Matt Frewer,WatchmenÎ_,392474,2530,Stephen McHattie,1,conspiracy|cynicism|false promise of the american dream|male full frontal nudity|male nudity,1229,English,USA,R,130000000,2009,745,7.7,2.35,18000
166,Color,Richard Donner,141,127,503,91,Rene Russo,5000,129734803,Action|Crime|Thriller,Jet Li,Lethal Weapon 4Î_,127497,6171,Darlene Love,2,kung fu|lapd|martial arts|private investigator|triad,287,English,USA,R,140000000,1998,808,6.6,2.35,0
