,Movies,Horror,Thriller,Comedy,Romantic,Sci-fi,War,Fantasy/Fairy tales,Animated,Documentary,Western,Action,Age,Height,Weight,Number of siblings,Gender_female,Gender_male,Left - right handed_left handed,Left - right handed_right handed,Education_college/bachelor degree,Education_currently a primary school pupil,Education_doctorate degree,Education_masters degree,Education_primary school,Education_secondary school,Only child_no,Only child_yes,Village - town_city,Village - town_village,House - block of flats_block of flats,House - block of flats_house/bungalow
0,5.0,4.0,2.0,5.0,4.0,4.0,1.0,5.0,5.0,3.0,1.0,2.0,20.0,163.0,48.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0
1,5.0,2.0,2.0,4.0,3.0,4.0,1.0,3.0,5.0,4.0,1.0,4.0,19.0,163.0,58.0,2.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
2,5.0,3.0,4.0,4.0,2.0,4.0,2.0,5.0,5.0,2.0,2.0,1.0,20.0,176.0,67.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
4,5.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,4.0,3.0,1.0,4.0,20.0,170.0,59.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
5,5.0,5.0,5.0,5.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,20.0,186.0,77.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
6,4.0,2.0,1.0,5.0,3.0,1.0,3.0,5.0,5.0,3.0,1.0,2.0,20.0,177.0,50.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
7,5.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,19.0,184.0,90.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1
9,5.0,2.0,1.0,5.0,5.0,1.0,3.0,4.0,4.0,4.0,1.0,2.0,19.0,174.0,60.0,3.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
10,5.0,5.0,4.0,5.0,3.0,3.0,2.0,5.0,5.0,3.0,1.0,3.0,19.0,175.0,60.0,2.0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
11,5.0,3.0,4.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,1.0,4.0,17.0,176.0,60.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
12,5.0,1.0,5.0,4.0,3.0,1.0,4.0,5.0,3.0,3.0,1.0,1.0,24.0,168.0,55.0,10.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
13,5.0,3.0,2.0,5.0,5.0,2.0,1.0,5.0,4.0,2.0,1.0,3.0,19.0,165.0,55.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
14,4.0,1.0,3.0,5.0,4.0,1.0,1.0,5.0,5.0,3.0,1.0,4.0,22.0,175.0,57.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
16,5.0,3.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,19.0,175.0,65.0,2.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
18,5.0,2.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,18.0,181.0,78.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1
19,3.0,1.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,5.0,2.0,5.0,18.0,188.0,90.0,1.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1
20,5.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,20.0,186.0,77.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
21,5.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,4.0,5.0,2.0,5.0,24.0,186.0,85.0,1.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0
23,5.0,2.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,2.0,2.0,20.0,168.0,54.0,3.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
24,5.0,4.0,2.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,19.0,167.0,51.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
25,5.0,1.0,2.0,5.0,5.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,20.0,170.0,56.0,1.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
26,5.0,3.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,2.0,1.0,22.0,165.0,63.0,1.0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1
28,5.0,3.0,3.0,5.0,3.0,1.0,5.0,4.0,4.0,3.0,4.0,4.0,20.0,187.0,80.0,2.0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1
29,5.0,3.0,2.0,5.0,5.0,2.0,4.0,5.0,5.0,4.0,2.0,2.0,19.0,168.0,60.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
30,5.0,2.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,25.0,183.0,87.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
31,4.0,1.0,1.0,5.0,5.0,2.0,2.0,5.0,5.0,4.0,1.0,1.0,22.0,177.0,80.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
32,5.0,5.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,3.0,2.0,4.0,20.0,158.0,46.0,4.0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
33,4.0,3.0,4.0,4.0,3.0,1.0,3.0,5.0,4.0,5.0,2.0,3.0,27.0,170.0,70.0,1.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
34,5.0,2.0,3.0,5.0,4.0,4.0,2.0,2.0,5.0,3.0,1.0,5.0,20.0,177.0,67.0,5.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
35,5.0,1.0,2.0,5.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,5.0,19.0,170.0,72.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
36,5.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,1.0,5.0,18.0,173.0,65.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
38,5.0,1.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,2.0,5.0,23.0,168.0,60.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
39,4.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,2.0,3.0,21.0,155.0,46.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
40,5.0,1.0,5.0,5.0,3.0,2.0,1.0,2.0,2.0,4.0,1.0,5.0,26.0,172.0,62.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
41,3.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,20.0,188.0,80.0,3.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
42,5.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,19.0,170.0,90.0,0.0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
43,5.0,1.0,1.0,5.0,4.0,3.0,2.0,5.0,5.0,3.0,1.0,4.0,20.0,163.0,55.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
44,5.0,3.0,4.0,5.0,4.0,3.0,1.0,5.0,4.0,4.0,1.0,3.0,25.0,170.0,67.0,1.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0
48,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,20.0,171.0,70.0,1.0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
49,5.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,1.0,4.0,20.0,157.0,41.0,1.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
50,5.0,1.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,5.0,19.0,175.0,60.0,2.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
52,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,21.0,160.0,58.0,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
53,5.0,3.0,3.0,5.0,5.0,1.0,5.0,5.0,3.0,3.0,1.0,5.0,18.0,164.0,51.0,4.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
54,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,21.0,160.0,57.0,2.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
55,5.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,23.0,165.0,45.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1
57,5.0,4.0,4.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,2.0,4.0,21.0,157.0,45.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
59,5.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,22.0,178.0,74.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
60,5.0,1.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,4.0,3.0,4.0,23.0,175.0,72.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
61,5.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,2.0,2.0,4.0,23.0,165.0,56.0,1.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0
62,5.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,23.0,189.0,81.0,2.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
64,5.0,2.0,1.0,5.0,5.0,1.0,3.0,5.0,5.0,2.0,1.0,2.0,18.0,180.0,52.0,0.0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0
65,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,2.0,5.0,17.0,185.0,84.0,1.0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0
66,4.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,20.0,183.0,83.0,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
