last_evaluation_satisfaction_score,number_projects,average_montly_hours,time_spent_at_company,salary,IT,accounting,customer_support,hr,management,marketing,product_mng,product_support,rd,research,sales,support,technical,current_satisfaction_score
58,3,201,3,119000,0,0,0,0,0,0,0,0,0,0,1,0,0,60
89,3,257,3,127000,0,0,0,0,0,0,0,0,0,0,1,0,0,66
58,4,178,4,117000,0,0,0,0,0,0,0,0,0,0,1,0,0,74
69,3,231,3,145000,0,0,0,0,0,0,0,0,0,0,0,0,1,67
88,3,173,3,71000,0,0,0,0,0,0,0,0,0,0,0,0,1,55
69,3,231,3,136000,0,0,0,0,0,0,0,0,0,0,0,0,1,67
81,4,209,4,130000,1,0,0,0,0,0,0,0,0,0,0,0,0,83
75,4,199,3,72000,0,0,0,0,0,0,0,0,0,0,1,0,0,41
77,4,142,3,120000,0,0,0,0,0,0,0,0,0,0,0,1,0,61
59,4,165,3,119000,0,0,0,0,0,0,0,0,0,0,1,0,0,86
87,4,221,3,71000,0,0,0,0,0,0,0,0,0,0,0,1,0,62
78,3,153,3,113000,0,0,0,0,0,0,0,0,0,0,1,0,0,63
79,4,184,3,58000,0,0,0,0,0,1,0,0,0,0,0,0,0,68
83,3,148,3,69000,0,0,0,0,0,0,0,0,0,0,0,1,0,67
64,3,260,3,110000,0,0,0,0,0,0,0,0,1,0,0,0,0,56
65,3,202,3,56000,0,0,0,0,0,1,0,0,0,0,0,0,0,54
73,3,163,3,68000,1,0,0,0,0,0,0,0,0,0,0,0,0,53
61,4,200,3,64000,0,0,0,0,0,0,0,0,0,0,0,0,1,58
86,4,257,3,57000,0,0,0,0,0,0,0,0,0,0,1,0,0,58
52,3,155,3,61000,0,0,0,0,0,0,0,0,0,0,1,0,0,35
84,3,258,4,57000,0,0,0,0,0,0,0,0,0,0,0,1,0,58
66,4,258,3,66000,0,0,0,0,0,0,0,0,0,0,1,0,0,78
76,3,153,3,134000,0,0,0,0,0,0,0,0,0,0,0,0,1,69
86,3,187,3,72000,0,0,0,0,0,1,0,0,0,0,0,0,0,88
60,4,235,4,61000,0,0,0,0,0,1,0,0,0,0,0,0,0,91
54,3,138,4,71000,0,0,0,0,0,0,0,0,0,0,0,1,0,35
80,3,219,3,137000,0,0,0,0,0,1,0,0,0,0,0,0,0,72
83,4,208,3,56000,1,0,0,0,0,0,0,0,0,0,0,0,0,86
93,4,187,4,73000,0,0,0,0,0,1,0,0,0,0,0,0,0,76
74,3,160,3,112000,0,0,0,0,0,1,0,0,0,0,0,0,0,61
63,3,209,3,69000,0,0,0,0,0,0,0,0,0,0,0,0,1,70
74,4,179,3,63000,0,1,0,0,0,0,0,0,0,0,0,0,0,66
56,3,207,3,73000,0,0,0,0,0,0,0,0,0,0,1,0,0,75
84,3,172,3,106000,0,0,0,0,0,0,0,0,0,0,1,0,0,87
94,4,264,4,58000,0,0,0,0,0,0,0,0,0,0,0,0,1,91
68,3,245,4,135000,0,0,0,0,0,1,0,0,0,0,0,0,0,50
93,3,247,3,146000,0,0,0,0,0,0,0,0,0,0,0,0,1,82
69,4,171,3,137000,0,0,0,0,0,0,1,0,0,0,0,0,0,73
88,3,202,4,73000,0,0,0,1,0,0,0,0,0,0,0,0,0,51
65,4,265,3,72000,0,0,0,0,0,0,0,0,0,0,0,0,1,57
66,3,188,4,116000,0,0,0,0,0,0,0,0,0,0,1,0,0,64
92,3,211,3,124000,0,0,0,0,0,0,0,0,0,0,1,0,0,75
63,4,204,4,121000,0,0,0,0,0,1,0,0,0,0,0,0,0,56
51,4,157,3,121000,0,0,0,0,0,0,0,0,0,0,1,0,0,65
72,3,216,4,66000,0,0,0,0,0,0,0,0,0,0,0,1,0,79
57,3,209,3,121000,0,0,0,0,0,0,1,0,0,0,0,0,0,78
66,3,234,3,101000,0,0,0,0,0,0,0,0,0,0,1,0,0,85
67,3,245,3,143000,0,0,0,0,0,0,0,0,0,0,1,0,0,65
79,4,234,3,74000,0,0,0,0,0,0,0,0,0,0,0,1,0,52
82,3,192,3,63000,0,0,0,0,0,0,0,0,0,0,0,0,1,52
53,4,160,4,132000,0,0,0,0,0,0,0,0,0,0,0,0,1,25
62,3,254,3,140000,0,0,0,0,0,0,0,0,0,0,0,0,1,90
79,4,222,3,57000,0,0,0,0,0,0,0,0,1,0,0,0,0,84
57,3,179,3,123000,0,0,0,0,0,0,0,1,0,0,0,0,0,64
87,3,199,3,120000,0,0,0,0,0,0,0,0,0,0,1,0,0,91
78,3,223,3,63000,0,0,0,0,1,0,0,0,0,0,0,0,0,58
52,4,168,3,105000,0,0,0,0,0,0,1,0,0,0,0,0,0,52
77,4,157,4,66000,0,0,0,0,0,0,1,0,0,0,0,0,0,60
66,3,225,3,70000,0,0,0,0,0,0,0,0,0,0,0,0,1,66
80,3,222,3,103000,1,0,0,0,0,0,0,0,0,0,0,0,0,72
70,3,159,3,58000,0,0,0,1,0,0,0,0,0,0,0,0,0,50
59,4,140,3,144000,0,0,0,0,0,0,0,0,0,0,1,0,0,77
51,3,160,3,129000,0,0,0,0,0,0,0,0,0,0,1,0,0,72
56,3,146,3,69000,0,0,0,0,0,0,0,0,0,0,0,0,1,68
77,3,144,3,138000,0,0,0,0,0,0,0,0,0,0,1,0,0,91
70,3,256,4,122000,0,0,0,0,0,0,0,0,0,0,0,1,0,89
51,3,222,3,124000,0,0,0,0,0,0,0,0,0,0,0,0,1,62
63,3,231,3,68000,0,0,0,0,0,0,0,0,0,0,0,0,1,74
91,4,246,3,116000,0,0,0,0,0,0,0,0,0,0,0,0,1,63
77,3,190,3,64000,0,0,0,0,1,0,0,0,0,0,0,0,0,87
73,4,174,3,109000,0,0,0,0,0,0,0,0,0,0,1,0,0,51
57,3,242,3,56000,0,0,0,0,0,0,1,0,0,0,0,0,0,63
78,4,244,4,128000,0,0,0,0,0,0,0,0,1,0,0,0,0,61
93,3,260,3,66000,0,0,0,0,0,0,1,0,0,0,0,0,0,80
63,3,227,3,131000,0,0,0,0,0,0,0,0,0,0,0,0,1,67
51,4,177,3,58000,0,0,0,0,0,0,0,0,0,0,0,0,1,64
58,4,202,3,124000,0,0,0,0,0,0,0,0,0,0,1,0,0,77
78,4,241,4,103000,0,0,0,1,0,0,0,0,0,0,0,0,0,67
51,4,233,3,61000,0,0,0,0,0,0,0,0,0,0,1,0,0,87
62,3,180,3,68000,0,0,0,0,0,0,0,0,0,0,0,1,0,22
84,3,237,3,63000,0,1,0,0,0,0,0,0,0,0,0,0,0,55
